pm2_5,pm10,temperature_2m,relative_humidity_2m,wind_speed_10m,hour,day_of_week,pm2_5_lag_1,pm2_5_lag_3,pm2_5_rolling_mean_6,high_pollution_next_hour,prediction_probability,prediction,correct,error_type
238.0,2607.7,28.1,15,10.9,19,2,220.3,183.9,221.5,1,0.9999897761250524,1,True,correct
258.9,2808.9,27.3,16,11.0,20,2,238.0,192.8,215.21666666666667,1,0.9999897761250524,1,True,correct
268.2,2875.9,26.3,17,11.7,21,2,258.9,220.3,214.75,1,0.9999897761250524,1,True,correct
265.4,2823.8,24.9,18,11.4,22,2,268.2,238.0,227.01666666666665,1,0.9999897761250524,1,True,correct
259.8,2771.6,24.0,19,11.2,23,2,265.4,258.9,240.6,1,0.9999897761250524,1,True,correct
258.9,2771.6,23.3,20,11.8,0,3,259.8,268.2,251.76666666666665,1,0.9992895092734461,1,True,correct
265.4,2838.7,22.8,21,12.6,1,3,258.9,265.4,258.2,1,0.9986202284670689,1,True,correct
270.1,2875.9,22.2,22,11.9,2,3,265.4,259.8,262.76666666666665,1,0.9990457101540956,1,True,correct
276.6,2875.9,22.0,21,11.1,3,3,270.1,258.9,264.63333333333327,1,0.9998619242300558,1,True,correct
262.6,2771.6,21.2,22,9.6,4,3,276.6,265.4,266.03333333333336,1,0.9999664607691768,1,True,correct
245.9,2600.3,20.5,23,9.4,5,3,262.6,270.1,265.56666666666666,1,0.9999664607691768,1,True,correct
222.1,2339.5,20.0,23,8.8,6,3,245.9,276.6,263.25,1,0.9999664607691768,1,True,correct
198.4,2071.3,19.9,23,8.4,7,3,222.1,262.6,257.1166666666666,1,0.9999770990670491,1,True,correct
180.2,1862.6,21.1,21,8.0,8,3,198.4,245.9,245.95000000000002,1,0.9999770990670491,1,True,correct
157.9,1613.1,23.0,19,5.6,9,3,180.2,222.1,230.96666666666667,1,0.9999770990670491,1,True,correct
160.2,1832.8,25.9,15,6.2,10,3,157.9,198.4,211.1833333333333,1,0.999957458693141,1,True,correct
181.6,2145.8,28.0,13,9.4,11,3,160.2,180.2,194.11666666666667,1,0.9999664525098919,1,True,correct
195.6,2294.8,29.3,12,9.4,12,3,181.6,157.9,183.4,1,0.9999664525098919,1,True,correct
194.6,2287.3,30.2,11,7.8,13,3,195.6,160.2,178.98333333333335,1,0.9996028161462557,1,True,correct
180.2,2138.3,30.9,11,6.1,14,3,194.6,181.6,178.35,1,0.9995725131159527,1,True,correct
148.1,1780.7,31.1,11,6.1,15,3,180.2,195.6,178.35,1,0.9995725131159527,1,True,correct
143.9,1739.7,31.2,11,5.5,16,3,148.1,194.6,176.71666666666667,1,0.9998826735437601,1,True,correct
137.8,1650.3,30.7,11,7.6,17,3,143.9,180.2,174.0,1,0.9998826735437601,1,True,correct
150.4,1631.7,28.8,12,13.4,18,3,137.8,148.1,166.70000000000002,1,0.9999425331459824,1,True,correct
